"filename", "language", "Java", "XML", "Markdown", "CSV", "JSON", "comment", "blank", "total"
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\SC2002Assignment.iml", "XML", 0, 11, 0, 0, 0, 0, 0, 11
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Utils\DatabaseUtils.java", "Java", 403, 0, 0, 0, 0, 5, 79, 487
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Utils\InputUtils.java", "Java", 177, 0, 0, 0, 0, 2, 13, 192
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Utils\PageUtils.java", "Java", 151, 0, 0, 0, 0, 0, 43, 194
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Utils\ThemeUtils.java", "Java", 13, 0, 0, 0, 0, 0, 3, 16
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Apps\HomeView.java", "Java", 54, 0, 0, 0, 0, 1, 19, 74
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Apps\ProfileView.java", "Java", 60, 0, 0, 0, 0, 3, 8, 71
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Authentications\LoginView.java", "Java", 67, 0, 0, 0, 0, 3, 13, 83
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Camps\CampListStaffMenuView.java", "Java", 137, 0, 0, 0, 0, 1, 22, 160
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Camps\CampListView.java", "Java", 181, 0, 0, 0, 0, 2, 19, 202
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Camps\CampView.java", "Java", 178, 0, 0, 0, 0, 3, 21, 202
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Enquiries\EnquiryListView.java", "Java", 95, 0, 0, 0, 0, 2, 12, 109
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Enquiries\EnquiryView.java", "Java", 96, 0, 0, 0, 0, 1, 11, 108
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Interfaces\IView.java", "Java", 5, 0, 0, 0, 0, 0, 3, 8
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Suggestions\SuggestionListView.java", "Java", 128, 0, 0, 0, 0, 5, 14, 147
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Suggestions\SuggestionView.java", "Java", 49, 0, 0, 0, 0, 6, 12, 67
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\.VSCodeCounter\2023-11-20_00-22-42\details.md", "Markdown", 0, 0, 119, 0, 0, 0, 6, 125
